,Training Source,Home Office/Metro Area,Organization Number,Organization,Capability,Function 2,Career Level,Function,Function Name,Title,Training Type,Training Provider,Training Delivery Type,Training Location,Vendor Name,Conference Name,Course or Event Name,Certification Type,Certification Name,Is there a course with this certification?,Category,Activity,Support Group,Business Justification,What % of the conference is business development?,Training Hours,Travel Required,Certification Fee,Conference Fee,Course Fee,Vendor Charge
10,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,ACN/AFS Curriculum,AFS QA/Risk Mgmt Workshop,TAS TC Advanced Tech & Arch Approval Group,Accenture curriculum,,4.0,No,0.0,0,0.0,0
11,TAS,Philadelphia GS 2005 Market,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,ACN/AFS Curriculum,AFS QA/Risk Mgmt Workshop,TAS TC Advanced Tech & Arch Approval Group,Accenture curriculum,,4.0,No,0.0,0,0.0,0
12,TAS,San Fran Corp 560 Mission,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Agile,Agile Delivery School,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,16.0,No,0.0,0,0.0,0
13,TAS,Dallas Corp 5221 O'Connor Las Colinas,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,LINUX ACADEMY,,,,,,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,0.0,0,58.0,0
14,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.003,TC Analyst Apprentice,Analyst,TC,10,TC,Technology Consulting,Conference  -  Technology Consulting  -  Vendor,Conference,Vendor,,"Chelsea Piers Pier 60, New York, NY",Apigee,Adapt or Die World Tour,,,,,Digital,Conf - Adapt or Die - Not on approved list,TAS TC Analyst Apprentice Approval Group,Other,100.0,8.0,Yes,0.0,0,0.0,0
15,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,AI,AI Hackathon,TAS TC Advanced Tech & Arch Approval Group,Career growth,,16.0,No,0.0,0,0.0,0
16,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,Amazon Web Services,,,,,,Leadership,AWS Best Practices Delivery Bootcamp,TAS TC Advanced Tech & Arch Approval Group,Career growth,,24.0,No,0.0,0,0.0,0
17,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,"Arlington, VA",Excella Consulting,,,New,Certified ScrumMaster,Yes,Agile,CSM - should direct to AWF vs. vendor,TAS TC Advanced Tech & Arch Approval Group,Upcoming project/role,,16.0,Yes,0.0,0,1300.0,0
18,TAS,Florham Park GS 500 Campus,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,NYC,,,,New,SAFe 4.0,Yes,Agile,Scaled Agile Framework (SAFe),TAS TC Advanced Tech & Arch Approval Group,Career growth,,16.0,Yes,0.0,0,0.0,0
19,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Amazon,,,New,AWS Certified Developer - Associate,No,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,2.0,No,150.0,0,0.0,0
20,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Amazon,,,New,AWS Certified Developer - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Other,,0.0,No,150.0,0,58.0,0
21,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS and Linux Academy,,,New,AWS Certified Developer - Associate Level,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,150.0,0,58.0,0
22,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS,,,New,AWS Certified Developer - Associate Level,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,0.0,,150.0,0,0.0,0
23,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Developer Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,0.0,0,58.0,0
24,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,Linux Academy,,,,,,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Other,,0.0,No,0.0,0,58.0,0
25,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,AWS,,,New,AWS Certified Solutions Architect - Associate,No,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,2.0,No,150.0,0,0.0,0
26,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Amazon Web Services,,,New,AWS Certified Solutions Architect - Associate Level,No,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,2.0,No,150.0,0,0.0,0
27,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,AWS,,,New,AWS Certified Solutions Architect - Associate Level,No,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,2.0,No,150.0,0,0.0,0
28,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy and AWS,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,150.0,0,58.0,0
29,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor (AWS or Tenable),Certification,Vendor (AWS or Tenable),Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Other,,0.0,No,150.0,0,79.0,0
30,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,0.0,0,58.0,0
31,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Accenture curriculum,,0.0,No,150.0,0,58.0,0
32,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,150.0,0,58.0,0
33,TAS,Chicago GS 161 Clark St,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy (Request access to the Linux Academy),,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,130.0,0,0.0,0
34,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,150.0,0,58.0,0
35,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Other,,0.0,No,0.0,0,58.0,0
36,TAS,St Louis Corp 211 N Broadway,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Amazon Web Services & Linux Academy (FY17 Amazon Web Services (AWS) Certification Program),,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,0.0,No,150.0,0,38.0,0
37,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,3,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Classroom,,,,,,,,ACN/AFS Curriculum,CDP,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,4.5,No,0.0,0,0.0,0
38,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Digital,Design Thinking Intro,TAS TC Advanced Tech & Arch Approval Group,Accenture curriculum,,8.0,No,0.0,0,0.0,0
39,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Digital,Design Thinking Intro,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,8.0,No,0.0,0,0.0,0
40,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Digital,Design Thinking Intro,TAS TC Advanced Tech & Arch Approval Group,Accenture curriculum,,8.0,No,0.0,0,0.0,0
41,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Digital,Design Thinking Intro,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,8.0,No,0.0,0,0.0,0
42,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Digital,Design Thinking Intro,TAS TC Advanced Tech & Arch Approval Group,Accenture curriculum,,8.0,No,0.0,0,0.0,0
43,TAS,Baltimore AFS 6340 Security Blvd,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,12,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Comp TIA,,,New,CompTIA Security+,Yes,Cert prep,(SECR) Security+,TAS TDL Analyst Apprentice Approval Group,Current project/role,,40.0,No,311.0,0,0.0,0
44,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.005,TDL Industry,Industry,TDL,7,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Virtual,,CompTia,,,New,Security +,No,Cert exam,(SECR) Security+,TAS TDL Industry Approval Group,Current project/role,,16.0,No,386.0,0,0.0,0
45,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate Level,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,0.0,0,58.0,0
46,MyLearning,,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,,Inclusion & Diversity,Accenture,Classroom,Westin Gateway Arlington,,,,,,,I&D,IWD - Intl Women's Day,,,,8.0,No,0.0,0,0.0,0
47,MyLearning,,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,,Inclusion & Diversity,Accenture,Classroom,"Indianapolis, IN Skyline Club, 1 American Square, Indianapolis, IN 46282",,,,,,,I&D,IWD - Intl Women's Day,,,,8.0,No,0.0,0,0.0,0
48,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Amazon Web Services (AWS),,,New,AWS Certified Solutions Architect - Associate,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,150.0,0,58.0,0
49,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,3,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,ACN/AFS Curriculum,MD Momentum,TAS TC Advanced Tech & Arch Approval Group,Accenture curriculum,,40.0,Yes,0.0,0,0.0,0
50,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
51,TAS,St Louis GS 211 N Broadway,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
52,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
53,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
54,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
55,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
56,TAS,NY GS 1345 Ave Americas,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
57,TAS,NY Corp 1345 Ave Americas,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
58,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
59,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
60,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Leadership,RISE,TAS TC Advanced Tech & Arch Approval Group,Career growth,,12.0,No,0.0,0,0.0,0
61,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,,,,,,,Tech Arch,Liquid Architecture Construction School,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,40.0,Yes,0.0,0,0.0,0
62,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Virtual,,,,,New,AWS Certified Solutions Architect - Associate Level,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,0.0,No,0.0,0,0.0,0
63,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate Level,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,0.0,0,58.0,0
64,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate Level,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,0.0,0,58.0,0
65,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Linux Academy,,,New,AWS Certified Solutions Architect - Associate Level,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,0.0,No,150.0,0,87.0,0
66,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Virtual,,,,,New,AWS Certified Solutions Architect - Associate Level,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Other,,0.0,No,0.0,0,0.0,0
67,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Amazon,,,New,AWS Certified Solutions Architect,Yes,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,2.0,No,150.0,0,54.06,0
68,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Amazon Web Services,,,New,AWS Certified Solutions Architect - Professional,No,Cloud,AWS Certification,TAS TC Advanced Tech & Arch Approval Group,Career growth,,2.0,No,300.0,0,0.0,0
69,TAS,Dallas GS 5221 O'Connor Las Colinas,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Agile,DevOps Academy,TAS TC Advanced Tech & Arch Approval Group,Accenture curriculum,,16.0,No,0.0,0,0.0,0
70,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,,,,,,,Agile,DevOps Academy,TAS TC Advanced Tech & Arch Approval Group,Current project/role,,16.0,No,0.0,0,0.0,0
